Date,D0,D1,D2,Value
1988-05,A,M,N,
1988-05,A,M,R,
1988-05,A,U,WMF,388.986
1988-05,A,U,N,
1988-05,A,U,R,
1988-05,A,P,WMF,312.165
1988-05,A,P,N,
1988-05,A,P,R,
1988-05,A,TBS1,WMF,339.354
1988-05,A,TBS1,N,
1988-05,A,TBS1,R,
1988-05,H,T,WMF,-774.326
1988-06,E,T,WMF,6753.154
1988-06,E,T,N,
1988-06,E,T,R,
1988-06,E,MAE,WMF,1487.248
1988-06,E,MAE,N,
1988-06,E,MAE,R,
1988-06,E,PUB,WMF,464.758
1988-06,E,PUB,N,
1988-06,E,PUB,R,
1988-06,E,C,WMF,803.471
1988-06,E,C,N,
1988-06,E,C,R,
1988-06,E,TBS0,WMF,599.31
1988-06,E,TBS0,N,
1988-06,E,TBS0,R,
1988-06,E,F,WMF,848.823
1988-06,E,F,N,
1988-06,E,F,R,
1988-06,A,T,WMF,5988.706
1988-06,A,T,N,
1988-06,A,T,R,
1988-06,A,MAE,WMF,1966.866
1988-06,A,MAE,N,
1988-06,A,MAE,R,
1988-06,A,C,WMF,1329.252
1988-06,A,C,N,
1988-06,A,C,R,
1988-06,A,M,WMF,575.023
1988-06,A,M,N,
1988-06,A,M,R,
1988-06,A,U,WMF,425.248
1988-06,A,U,N,
1988-06,A,U,R,
1988-06,A,P,WMF,341.072
1988-06,A,P,N,
1988-06,A,P,R,
1988-06,A,TBS1,WMF,375.015
1988-06,A,TBS1,N,
1988-06,A,TBS1,R,
1988-06,H,T,WMF,-764.448
1988-07,E,T,WMF,6341.873
1988-07,E,T,N,
1988-07,E,T,R,
1988-07,E,MAE,WMF,1363.472
1988-07,E,MAE,N,
1988-07,E,MAE,R,
1988-07,E,PUB,WMF,385.188
1988-07,E,PUB,N,
1988-07,E,PUB,R,
1988-07,E,C,WMF,765.664
1988-07,E,C,N,
1988-07,E,C,R,
1988-07,E,TBS0,WMF,699.81
1988-07,E,TBS0,N,
1988-07,E,TBS0,R,
1988-07,E,F,WMF,787.155
1988-07,E,F,N,
1988-07,E,F,R,
1988-07,A,T,WMF,5630.025
1988-07,A,T,N,
1988-07,A,T,R,
1988-07,A,MAE,WMF,1832.707
1988-07,A,MAE,N,
1988-07,A,MAE,R,
1988-07,A,C,WMF,1242.51
1988-07,A,C,N,
1988-07,A,C,R,
1988-07,A,M,WMF,557.003
1988-07,A,M,N,
1988-07,A,M,R,
1988-07,A,U,WMF,442.427
1988-07,A,U,N,
1988-07,A,U,R,
1988-07,A,P,WMF,329.271
1988-07,A,P,N,
1988-07,A,P,R,
1988-07,A,TBS1,WMF,342.139
1988-07,A,TBS1,N,
1988-07,A,TBS1,R,
1988-07,H,T,WMF,-711.848
1988-08,E,T,WMF,5920.139
1988-08,E,T,N,
1988-08,E,T,R,
1988-08,E,MAE,WMF,1312.75
1988-08,E,MAE,N,
1988-08,E,MAE,R,
1988-08,E,PUB,WMF,357.164
1988-08,E,PUB,N,
1988-08,E,PUB,R,
1988-08,E,C,WMF,743.202
1988-08,E,C,N,
1988-08,E,C,R,
1988-08,E,TBS0,WMF,677.962
1988-08,E,TBS0,N,
1988-08,E,TBS0,R,
1988-08,E,F,WMF,631.691
1988-08,E,F,N,
1988-08,E,F,R,
1988-08,A,T,WMF,4578.924
1988-08,A,T,N,
1988-08,A,T,R,
1988-08,A,MAE,WMF,1464.517
1988-08,A,MAE,N,
1988-08,A,MAE,R,
1988-08,A,C,WMF,1189.447
1988-08,A,C,N,
1988-08,A,C,R,
1988-08,A,M,WMF,402.665
1988-08,A,M,N,
1988-08,A,M,R,
1988-08,A,U,WMF,300.221
1988-08,A,U,N,
1988-08,A,U,R,
1988-08,A,P,WMF,271.508
1988-08,A,P,N,
1988-08,A,P,R,
1988-08,A,TBS1,WMF,248.151
1988-08,A,TBS1,N,
1988-08,A,TBS1,R,
1988-08,H,T,WMF,-1341.215
1988-09,E,T,WMF,6793.9
1988-09,E,T,N,
1988-09,E,T,R,
1988-09,E,MAE,WMF,1493.028
1988-09,E,MAE,N,
1988-09,E,MAE,R,
1988-09,E,PUB,WMF,378.205
1988-09,E,PUB,N,
1988-09,E,PUB,R,
1988-09,E,C,WMF,807.477
1988-09,E,C,N,
1988-09,E,C,R,
1988-09,E,TBS0,WMF,762.171
1988-09,E,TBS0,N,
1988-09,E,TBS0,R,
1988-09,E,F,WMF,761.717
1988-09,E,F,N,
1988-09,E,F,R,
1988-09,A,T,WMF,5967.557
1988-09,A,T,N,
1988-09,A,T,R,
1988-09,A,MAE,WMF,1929.65
1988-09,A,MAE,N,
1988-09,A,MAE,R,
1988-09,A,C,WMF,1324.18
1988-09,A,C,N,
1988-09,A,C,R,
1988-09,A,M,WMF,588.691
1988-09,A,M,N,
1988-09,A,M,R,
1988-09,A,U,WMF,441.034
1988-09,A,U,N,
1988-09,A,U,R,
1988-09,A,P,WMF,336.645
1988-09,A,P,N,
1988-09,A,P,R,
1988-09,A,TBS1,WMF,423.213
1988-09,A,TBS1,N,
1988-09,A,TBS1,R,
1988-09,H,T,WMF,-826.343
1988-10,E,T,WMF,6874.713
1988-10,E,T,N,
1988-10,E,T,R,
1988-10,E,MAE,WMF,1473.305
1988-10,E,MAE,N,
1988-10,E,MAE,R,
1988-10,E,PUB,WMF,445.52
1988-10,E,PUB,N,
1988-10,E,PUB,R,
1988-10,E,C,WMF,849.101
1988-10,E,C,N,
1988-10,E,C,R,
1988-10,E,TBS0,WMF,679.971
1988-10,E,TBS0,N,
1988-10,E,TBS0,R,
1988-10,E,F,WMF,747.505
1988-10,E,F,N,
1988-10,E,F,R,
1988-10,A,T,WMF,6151.557
1988-10,A,T,N,
1988-10,A,T,R,
1988-10,A,MAE,WMF,1859.261
1988-10,A,MAE,N,
1988-10,A,MAE,R,
1988-10,A,C,WMF,1420.272
1988-10,A,C,N,
1988-10,A,C,R,
1988-10,A,M,WMF,593.021
1988-10,A,M,N,
1988-10,A,M,R,
1988-10,A,U,WMF,540.484
