,Date,D0,D1,Value
172,1914-04,M0,JPY100,
173,1914-04,M0,AUD1,
174,1914-04,M0,CNY100,
175,1914-04,M0,HKD100,
176,1914-04,M0,KRW100,
177,1914-04,M0,MYR100,
178,1914-04,M0,NZD1,
179,1914-04,M0,SGD100,
180,1914-04,M0,THB100,
181,1914-04,M0,XDR1,
182,1914-04,M1,EUR1,
183,1914-04,M1,GBP1,
184,1914-04,M1,DKK100,
185,1914-04,M1,NOK100,
186,1914-04,M1,CZK100,
187,1914-04,M1,HUF100,
188,1914-04,M1,PLN100,
189,1914-04,M1,RUB100,
190,1914-04,M1,SEK100,
191,1914-04,M1,TRY100,
192,1914-04,M1,USD1,
193,1914-04,M1,CAD1,
194,1914-04,M1,ARS100,
195,1914-04,M1,BRL100,
196,1914-04,M1,MXN100,
197,1914-04,M1,ZAR1,
198,1914-04,M1,JPY100,
199,1914-04,M1,AUD1,
200,1914-04,M1,CNY100,
201,1914-04,M1,HKD100,
202,1914-04,M1,KRW100,
203,1914-04,M1,MYR100,
204,1914-04,M1,NZD1,
205,1914-04,M1,SGD100,
206,1914-04,M1,THB100,
207,1914-04,M1,XDR1,
208,1914-05,M0,EUR1,
209,1914-05,M0,GBP1,25.195
210,1914-05,M0,DKK100,
211,1914-05,M0,NOK100,
212,1914-05,M0,CZK100,
213,1914-05,M0,HUF100,
214,1914-05,M0,PLN100,
215,1914-05,M0,RUB100,
216,1914-05,M0,SEK100,
217,1914-05,M0,TRY100,
218,1914-05,M0,USD1,5.154
219,1914-05,M0,CAD1,
220,1914-05,M0,ARS100,
221,1914-05,M0,BRL100,
222,1914-05,M0,MXN100,
223,1914-05,M0,ZAR1,
224,1914-05,M0,JPY100,
225,1914-05,M0,AUD1,
226,1914-05,M0,CNY100,
227,1914-05,M0,HKD100,
228,1914-05,M0,KRW100,
229,1914-05,M0,MYR100,
230,1914-05,M0,NZD1,
231,1914-05,M0,SGD100,
232,1914-05,M0,THB100,
233,1914-05,M0,XDR1,
234,1914-05,M1,EUR1,
235,1914-05,M1,GBP1,
236,1914-05,M1,DKK100,
237,1914-05,M1,NOK100,
238,1914-05,M1,CZK100,
239,1914-05,M1,HUF100,
240,1914-05,M1,PLN100,
241,1914-05,M1,RUB100,
242,1914-05,M1,SEK100,
243,1914-05,M1,TRY100,
244,1914-05,M1,USD1,
245,1914-05,M1,CAD1,
246,1914-05,M1,ARS100,
247,1914-05,M1,BRL100,
248,1914-05,M1,MXN100,
249,1914-05,M1,ZAR1,
250,1914-05,M1,JPY100,
251,1914-05,M1,AUD1,
252,1914-05,M1,CNY100,
253,1914-05,M1,HKD100,
254,1914-05,M1,KRW100,
255,1914-05,M1,MYR100,
256,1914-05,M1,NZD1,
257,1914-05,M1,SGD100,
258,1914-05,M1,THB100,
259,1914-05,M1,XDR1,
260,1914-06,M0,EUR1,
261,1914-06,M0,GBP1,25.206999999999997
262,1914-06,M0,DKK100,
263,1914-06,M0,NOK100,
264,1914-06,M0,CZK100,
265,1914-06,M0,HUF100,
266,1914-06,M0,PLN100,
267,1914-06,M0,RUB100,
268,1914-06,M0,SEK100,
269,1914-06,M0,TRY100,
270,1914-06,M0,USD1,5.15
271,1914-06,M0,CAD1,
272,1914-06,M0,ARS100,
273,1914-06,M0,BRL100,
274,1914-06,M0,MXN100,
275,1914-06,M0,ZAR1,
276,1914-06,M0,JPY100,
277,1914-06,M0,AUD1,
278,1914-06,M0,CNY100,
279,1914-06,M0,HKD100,
280,1914-06,M0,KRW100,
281,1914-06,M0,MYR100,
282,1914-06,M0,NZD1,
283,1914-06,M0,SGD100,
284,1914-06,M0,THB100,
285,1914-06,M0,XDR1,
286,1914-06,M1,EUR1,
287,1914-06,M1,GBP1,
288,1914-06,M1,DKK100,
289,1914-06,M1,NOK100,
290,1914-06,M1,CZK100,
291,1914-06,M1,HUF100,
292,1914-06,M1,PLN100,
293,1914-06,M1,RUB100,
294,1914-06,M1,SEK100,
295,1914-06,M1,TRY100,
296,1914-06,M1,USD1,
297,1914-06,M1,CAD1,
298,1914-06,M1,ARS100,
299,1914-06,M1,BRL100,
300,1914-06,M1,MXN100,
301,1914-06,M1,ZAR1,
302,1914-06,M1,JPY100,
303,1914-06,M1,AUD1,
