Date,year,month,DateNum,Exp_All_N,Exp_All_R,Exp_All_WMF,Exp_Chemistry_N,Exp_Chemistry_R,Exp_Chemistry_WMF,Exp_Clothing_N,Exp_Clothing_R,Exp_Clothing_WMF,Exp_Machines_N,Exp_Machines_R,Exp_Machines_WMF,Exp_Metals_N,Exp_Metals_R,Exp_Metals_WMF,Exp_PrecisionNarr_N,Exp_PrecisionNarr_R,Exp_PrecisionNarr_WMF,Exp_Watches_N,Exp_Watches_R,Exp_Watches_WMF,Imp_All_N,Imp_All_R,Imp_All_WMF,Imp_Chemistry_N,Imp_Chemistry_R,Imp_Chemistry_WMF,Imp_Clothing_N,Imp_Clothing_R,Imp_Clothing_WMF,Imp_Machines_N,Imp_Machines_R,Imp_Machines_WMF,Imp_Precision_N,Imp_Precision_R,Imp_Precision_WMF,Imp_Vehicles_N,Imp_Vehicles_R,Imp_Vehicles_WMF,TradeBal_All_WMF,EUR,USD,gEUR,gUSD
2002-01,2002,1,2002,4.5,2.6,11076.076,15.4,5,4177.106,5.5,1.4,371.557,-13.8,-10.5,2366.859,-13,-10.5,780.951,2,2,644.925,-4.1,-17.3,736.502,-2.9,1.3,10509.621,8.5,9.2,2145.62,1,-1.3,868.72,-19.7,-14.6,2185.09,12.1,13.4,684.846,10.5,9.9,1132.663,566.455,1.4738,1.6681,-0.03391440005425794,1.1092253606497682
2002-02,2002,2,2002.0833333333333,-2.4,0.3,10739.541,3.6,6.2,3596.429,7.6,2.9,370.1,-17,-14.6,2491.852,-11.5,-7.5,798.887,1.9,-4.6,706.18,-12.1,-12.2,795.255,-0.9,2.5,10901.424,20.9,18,2440.366,-0.9,-1.7,868.068,-12.4,-7.5,2187.359,21.4,20.6,802.706,-15.2,-13.5,1123.261,-161.883,1.4774,1.6979,0.24426652191613663,1.7864636412685098
2002-03,2002,3,2002.1666666666667,-6.7,-4,11400.725,-1.6,-0.1,3728.505,0,-2.6,369.201,-26.7,-24.7,2668.721,-17.4,-14,843.889,2.2,2.1,800.678,-0.1,1.9,788.08,-9.7,-6.8,11032.839,-10.5,-11.6,2065.74,-9.6,-11.9,788.107,-20.9,-16.3,2281.232,9.5,12,943.835,-4.6,-5.3,1299.643,367.886,1.468,1.6753,-0.6362528766752473,-1.3310560103657387
2002-04,2002,4,2002.25,11.8,11.7,11837.91,23,16.6,4247.07,9.5,9.4,328.67,-7.4,-6.3,2689.552,-1.2,2.9,858.726,13,11.4,760.005,-0.3,0,790.557,7.6,11.5,12013.043,25.9,22.3,3006.951,3.3,5.6,664.101,-9.4,-3.4,2288.423,37.4,49.3,936.627,5.6,7.8,1338.678,-175.133,1.466,1.6549,-0.13623978201634523,-1.2176923536083128
2002-05,2002,5,2002.3333333333333,-2,-0.4,11623.68,1.3,-0.9,3930.391,2.3,4.9,322.989,-13.9,-12.2,2726.171,-9.7,-8.9,852.154,-0.8,0.5,742.351,-1.4,5.6,893.745,-6.3,-2.9,10741.042,-1.8,-3.8,2152.623,-10.2,-7.5,568.475,-17.5,-12.2,2110.413,42.2,48.2,1001.13,-4.1,-5.9,1325.789,882.638,1.4567,1.5876,-0.6343792633014878,-4.066710979515387
2002-06,2002,6,2002.4166666666667,3,4.4,11622.45,9.1,9,3901.663,-0.4,-0.3,335.108,-12.8,-11.8,2687.8,-8.6,-3.6,838.819,0.1,-3.3,724.302,-1.8,-4.3,898.551,-1,3.2,10812.352,14.3,14.1,2530.931,-6.8,-3.7,618.516,-12.3,-7.4,2156.633,31.7,39.7,943.948,-10.3,-12.4,1169.356,810.098,1.4716,1.5408,1.0228598887897178,-2.947845804988658
2002-07,2002,7,2002.5,6,11.5,12117.755,8.6,16.2,3942.881,6.5,6.9,399.17,-7.9,-6.7,2862.845,-4.5,0.2,882.494,14.8,15.1,788.732,0.4,5.2,982.868,1.6,8.2,11602.739,10,9.9,2605.692,-4.1,-1,907.721,-8.7,-1.6,2291.027,29.1,38.7,930.021,6.4,19,1283.237,515.016,1.4626,1.474,-0.6115792334873693,-4.335410176531673
2002-08,2002,8,2002.5833333333333,-1,0.2,9456.332,8.4,3.2,3408.623,-3.1,-2,249.11,-16.8,-16.6,2172.374,-10.5,-8.5,638.709,-7.8,-5.2,570.1,-6.7,0.6,670.653,-9.4,-5.8,8935.824,-11.7,-16.8,1911.482,-8.4,-2.7,768.462,-13.2,-10.1,1855.047,-2.3,5.6,571.562,-11.9,-4.8,808.132,520.508,1.4639,1.4977,0.08888281143171195,1.6078697421981092
2002-09,2002,9,2002.6666666666667,11.3,14.4,11536.612,15.6,15.9,3726.808,3,3.1,366.559,-3.2,-2.2,2702.096,1.1,4.6,848.326,18.6,17.5,781.786,4.9,13.9,877.403,3.3,5.7,10300.621,11.5,6.7,2135.778,1.2,4.8,827.716,-2,1.6,2129.649,13.5,20.2,714.628,1.4,2.4,1003.214,1235.991,1.4651,1.4938,0.08197281235058362,-0.2603992788943077
2002-10,2002,10,2002.75,3.9,7,12558.363,3.8,5.6,4017.765,5.6,6.8,363.071,-2.1,0.9,3046.3,0.8,5.3,920.748,12.1,17,878.975,0.4,3.6,1143.791,-1.6,-0.1,11565.826,-9,-9.4,2415.454,-2.7,-0.6,701.602,-5.1,0,2407.472,22.7,22.6,942.381,1.9,-0.8,1226.645,992.537,1.4649,1.4929,-0.013650945327958741,-0.06024902932120213
2002-11,2002,11,2002.8333333333333,1.3,6.3,11652.938,0.2,9,3410.331,1.2,-2.1,340.865,-11.1,-6,2809.526,0,1.4,866.872,9,11.4,842.363,7.3,7.3,1165.132,-1.4,1.9,10449.663,-4.9,-0.7,2217.367,-1.6,-0.2,588.224,-5.2,-0.9,2350.034,15.3,20.7,758.482,-8.1,-5.7,1034.246,1203.275,1.4673,1.4651,0.1638337087855879,-1.86214749815794
2002-12,2002,12,2002.9166666666667,9.8,15.8,10118.376,3.1,19.3,2856.014,14.5,10.5,284.208,5.1,5.7,2836.829,4.4,5.1,673.055,17.9,20.1,732.228,16.4,18.8,952.134,5.6,8.8,9342.067,5.1,12.8,1811.378,4.3,6.1,545.026,-0.5,5,2094.343,34.9,38.3,765.463,-7.9,-8.7,968.891,776.309,1.468,1.441,0.04770667211886348,-1.6449389120196556
2003-01,2003,1,2003,-5.3,-3,10493.456,-10.2,-6.9,3752.336,1.2,2,376.013,-2.3,-2.6,2311.847,3.1,4.4,805.3,15.1,18,742.04,-5,5.8,699.488,5,4,11035.638,42.3,23.5,3054.139,-3.4,-1,838.795,-3.3,2.5,2112.078,1.4,2.6,694.509,-14.8,-9.1,965.514,-542.182,1.4623,1.3759,-0.3882833787466011,-4.5176960444136105
2003-02,2003,2,2003.0833333333333,2.8,2.2,11035,13.7,7.7,4088.54,-1.3,0.5,365.189,0.2,2.4,2496.509,3.1,2.7,823.49,10.6,18.9,780.936,-6.9,-5.4,740.493,-4.7,-4.5,10390.389,-11.4,-18,2161.266,-5.3,-2.1,822.486,-3.9,1.6,2102.382,-4.7,-1.6,765.307,-8.2,-5.5,1031.329,644.611,1.4672,1.3616,0.3350885591192121,-1.0393197180027625
