"CubeId";"ausshawarm"
"PublishingDate";"2017-09-21 09:00"

"Date";"D0";"D1";"D2";"Value"
"2001-04";"E";"F";"R";"12.4"
"2001-04";"A";"T";"WMF";"10588.611"
"2001-04";"A";"T";"N";"15.1"
"2001-04";"A";"T";"R";"11.8"
"2001-04";"A";"MAE";"WMF";"2903.896"
"2001-04";"A";"MAE";"N";"8.9"
"2001-04";"A";"MAE";"R";"8.4"
"2001-04";"A";"C";"WMF";"3452.248"
"2001-04";"A";"C";"N";"34.4"
"2001-04";"A";"C";"R";"24.9"
"2001-04";"A";"M";"WMF";"869.307"
"2001-04";"A";"M";"N";"5.5"
"2001-04";"A";"M";"R";"3.7"
"2001-04";"A";"U";"WMF";"792.805"
"2001-04";"A";"U";"N";"5.9"
"2001-04";"A";"U";"R";"6.5"
"2001-04";"A";"P";"WMF";"672.814"
"2001-04";"A";"P";"N";"4"
"2001-04";"A";"P";"R";"7.3"
"2001-04";"A";"TBS1";"WMF";"300.113"
"2001-04";"A";"TBS1";"N";"7.2"
"2001-04";"A";"TBS1";"R";"8.1"
"2001-04";"H";"T";"WMF";"-579.496"
"2001-05";"E";"T";"WMF";"11458.001"
"2001-05";"E";"T";"N";"-0.3"
"2001-05";"E";"T";"R";"-2.7"
"2001-05";"E";"MAE";"WMF";"2558.336"
"2001-05";"E";"MAE";"N";"-11.5"
"2001-05";"E";"MAE";"R";"-10.6"
"2001-05";"E";"PUB";"WMF";"704.028"
"2001-05";"E";"PUB";"N";"2.1"
"2001-05";"E";"PUB";"R";"-3.6"
"2001-05";"E";"C";"WMF";"2192.472"
"2001-05";"E";"C";"N";"19.1"
"2001-05";"E";"C";"R";"12.6"
"2001-05";"E";"TBS0";"WMF";"633.214"
"2001-05";"E";"TBS0";"N";"0.5"
"2001-05";"E";"TBS0";"R";"-2.3"
"2001-05";"E";"F";"WMF";"1382.799"
"2001-05";"E";"F";"N";"-9"
"2001-05";"E";"F";"R";"-13.2"
"2001-05";"A";"T";"WMF";"11856.067"
"2001-05";"A";"T";"N";"2.7"
"2001-05";"A";"T";"R";"1.7"
"2001-05";"A";"MAE";"WMF";"3166.293"
"2001-05";"A";"MAE";"N";"-5.8"
"2001-05";"A";"MAE";"R";"-5.6"
"2001-05";"A";"C";"WMF";"3878.814"
"2001-05";"A";"C";"N";"15.1"
"2001-05";"A";"C";"R";"15.9"
"2001-05";"A";"M";"WMF";"943.229"
"2001-05";"A";"M";"N";"-9.7"
"2001-05";"A";"M";"R";"-8.6"
"2001-05";"A";"U";"WMF";"906.626"
"2001-05";"A";"U";"N";"-2.5"
"2001-05";"A";"U";"R";"-8.8"
"2001-05";"A";"P";"WMF";"748.084"
"2001-05";"A";"P";"N";"4.6"
"2001-05";"A";"P";"R";"6.9"
"2001-05";"A";"TBS1";"WMF";"315.738"
"2001-05";"A";"TBS1";"N";"-6.2"
"2001-05";"A";"TBS1";"R";"-8.6"
"2001-05";"H";"T";"WMF";"398.066"
"2001-06";"E";"T";"WMF";"10921.866"
"2001-06";"E";"T";"N";"4.2"
"2001-06";"E";"T";"R";"3.1"
"2001-06";"E";"MAE";"WMF";"2458.684"
"2001-06";"E";"MAE";"N";"-3.5"
"2001-06";"E";"MAE";"R";"-1.9"
"2001-06";"E";"PUB";"WMF";"716.873"
"2001-06";"E";"PUB";"N";"3.1"
"2001-06";"E";"PUB";"R";"0.5"
"2001-06";"E";"C";"WMF";"2214.431"
"2001-06";"E";"C";"N";"20.3"
"2001-06";"E";"C";"R";"17.8"
"2001-06";"E";"TBS0";"WMF";"663.895"
"2001-06";"E";"TBS0";"N";"8.9"
"2001-06";"E";"TBS0";"R";"5.9"
"2001-06";"E";"F";"WMF";"1304.341"
"2001-06";"E";"F";"N";"-3.3"
"2001-06";"E";"F";"R";"-4"
"2001-06";"A";"T";"WMF";"11279.213"
"2001-06";"A";"T";"N";"8.8"
"2001-06";"A";"T";"R";"6.6"
"2001-06";"A";"MAE";"WMF";"3081.825"
"2001-06";"A";"MAE";"N";"1"
"2001-06";"A";"MAE";"R";"2.5"
"2001-06";"A";"C";"WMF";"3576.276"
"2001-06";"A";"C";"N";"22.6"
"2001-06";"A";"C";"R";"16.4"
"2001-06";"A";"M";"WMF";"917.376"
"2001-06";"A";"M";"N";"2.4"
"2001-06";"A";"M";"R";"-0.5"
"2001-06";"A";"U";"WMF";"915.336"
"2001-06";"A";"U";"N";"7.8"
"2001-06";"A";"U";"R";"1.8"
"2001-06";"A";"P";"WMF";"723.758"
"2001-06";"A";"P";"N";"11.2"
"2001-06";"A";"P";"R";"17.2"
"2001-06";"A";"TBS1";"WMF";"336.553"
"2001-06";"A";"TBS1";"N";"8.4"
"2001-06";"A";"TBS1";"R";"8.4"
"2001-06";"H";"T";"WMF";"357.347"
"2001-07";"E";"T";"WMF";"11416.027"
"2001-07";"E";"T";"N";"7.6"
"2001-07";"E";"T";"R";"3"
"2001-07";"E";"MAE";"WMF";"2509.087"
"2001-07";"E";"MAE";"N";"-2.5"
"2001-07";"E";"MAE";"R";"-2.6"
"2001-07";"E";"PUB";"WMF";"720.201"
"2001-07";"E";"PUB";"N";"6.9"
"2001-07";"E";"PUB";"R";"-0.4"
"2001-07";"E";"C";"WMF";"2368.541"
"2001-07";"E";"C";"N";"20.9"
"2001-07";"E";"C";"R";"4.4"
"2001-07";"E";"TBS0";"WMF";"946.801"
"2001-07";"E";"TBS0";"N";"11.8"
"2001-07";"E";"TBS0";"R";"8.3"
"2001-07";"E";"F";"WMF";"1206.219"
"2001-07";"E";"F";"N";"15.2"
"2001-07";"E";"F";"R";"6.6"
"2001-07";"A";"T";"WMF";"11436.597"
"2001-07";"A";"T";"N";"10.5"
"2001-07";"A";"T";"R";"7.7"
"2001-07";"A";"MAE";"WMF";"3106.773"
"2001-07";"A";"MAE";"N";"-0.3"
"2001-07";"A";"MAE";"R";"-1.7"
"2001-07";"A";"C";"WMF";"3631.763"
"2001-07";"A";"C";"N";"25.5"
"2001-07";"A";"C";"R";"21.3"
"2001-07";"A";"M";"WMF";"924.029"
"2001-07";"A";"M";"N";"1.8"
"2001-07";"A";"M";"R";"0.5"
"2001-07";"A";"U";"WMF";"978.891"
"2001-07";"A";"U";"N";"15"
"2001-07";"A";"U";"R";"10.5"
"2001-07";"A";"P";"WMF";"686.812"
"2001-07";"A";"P";"N";"7.6"
"2001-07";"A";"P";"R";"10.9"
"2001-07";"A";"TBS1";"WMF";"374.717"
"2001-07";"A";"TBS1";"N";"11.6"
"2001-07";"A";"TBS1";"R";"8.2"
"2001-07";"H";"T";"WMF";"20.57"
"2001-08";"E";"T";"WMF";"9863.083"
"2001-08";"E";"T";"N";"-3.2"
"2001-08";"E";"T";"R";"-1.7"
"2001-08";"E";"MAE";"WMF";"2136.569"
"2001-08";"E";"MAE";"N";"-15.6"
"2001-08";"E";"MAE";"R";"-11.6"
"2001-08";"E";"PUB";"WMF";"585.132"
"2001-08";"E";"PUB";"N";"4.6"
