"CubeId";"devkum"
"PublishingDate";"2017-10-02 14:30"

"Date";"D0";"D1";"Value"
"2001-06";"M0";"RUB100";"6.1125"
"2001-06";"M0";"SEK100";"16.536"
"2001-06";"M0";"TRY100";"0.000145"
"2001-06";"M0";"USD1";"1.7827"
"2001-06";"M0";"CAD1";"1.1691"
"2001-06";"M0";"ARS100";"178.3085"
"2001-06";"M0";"BRL100";"74.885"
"2001-06";"M0";"MXN100";"19.6065"
"2001-06";"M0";"ZAR1";"0.2211"
"2001-06";"M0";"JPY100";"1.457105"
"2001-06";"M0";"AUD1";"0.92404"
"2001-06";"M0";"CNY100";"21.5672381"
"2001-06";"M0";"HKD100";"22.85631"
"2001-06";"M0";"KRW100";"0.1375"
"2001-06";"M0";"MYR100";"46.9085"
"2001-06";"M0";"NZD1";"0.7386"
"2001-06";"M0";"SGD100";"98.1545"
"2001-06";"M0";"THB100";"3.9388"
"2001-06";"M0";"XDR1";"2.230123"
"2001-07";"M0";"EUR1";"1.5134"
"2001-07";"M0";"GBP1";"2.4867"
"2001-07";"M0";"DKK100";"20.3245"
"2001-07";"M0";"NOK100";"18.9864"
"2001-07";"M0";"CZK100";"4.4685"
"2001-07";"M0";"HUF100";"0.6074"
"2001-07";"M0";"PLN100";"41.9923"
"2001-07";"M0";"RUB100";"6.0164"
"2001-07";"M0";"SEK100";"16.3423"
"2001-07";"M0";"TRY100";"0.000132"
"2001-07";"M0";"USD1";"1.7602"
"2001-07";"M0";"CAD1";"1.1514"
"2001-07";"M0";"ARS100";"176.1023"
"2001-07";"M0";"BRL100";"71.6091"
"2001-07";"M0";"MXN100";"19.1977"
"2001-07";"M0";"ZAR1";"0.2146"
"2001-07";"M0";"JPY100";"1.412941"
"2001-07";"M0";"AUD1";"0.896745"
"2001-07";"M0";"CNY100";"21.24190909"
"2001-07";"M0";"HKD100";"22.565682"
"2001-07";"M0";"KRW100";"0.1348"
"2001-07";"M0";"MYR100";"46.3136"
"2001-07";"M0";"NZD1";"0.7184"
"2001-07";"M0";"SGD100";"96.5095"
"2001-07";"M0";"THB100";"3.8575"
"2001-07";"M0";"XDR1";"2.199469"
